City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,longyearbyen,78.2186,15.6401,-1.089999999999975,80,75,3.09,SJ,1683659516
66,palapag,12.5458,125.1147,25.28000000000003,86,97,0.71,PH,1683659516
67,joao pinheiro,-17.7425,-46.1725,28.730000000000018,35,100,1.07,BR,1683659380
68,pustoshka,56.3355,29.369,7.580000000000041,61,99,2.33,RU,1683659517
69,kirensk,57.7853,108.1119,9.160000000000025,80,19,1.88,RU,1683659517
70,khoyniki,51.8911,29.9552,5.5400000000000205,68,58,2.4,BY,1683659517
71,isafjordur,66.0755,-23.124,4.2000000000000455,95,100,2.35,IS,1683659517
72,guerrero negro,27.9769,-114.0611,19.090000000000032,60,11,8.44,MX,1683659517
73,selfoss,63.9331,-20.9971,11.140000000000043,80,85,2.79,IS,1683659518
74,kuyucak,37.9133,28.4592,18.480000000000018,74,94,1.47,TR,1683659518
75,queenstown,-31.8976,26.8753,12.360000000000014,43,5,1.33,ZA,1683659518
76,niesky,51.2924,14.8211,13.700000000000045,77,0,3.5,DE,1683659518
77,changli,39.7042,119.1506,15.82000000000005,22,100,2.38,CN,1683659518
78,ribeira grande,38.5167,-28.7,18.220000000000027,94,75,5.81,PT,1683659519
79,nadym,65.5333,72.5167,-0.049999999999954525,97,100,4.53,RU,1683659519
80,thompson,55.7435,-97.8558,21.49000000000001,35,9,4.36,CA,1683659519
81,trairi,-3.2778,-39.2689,28.05000000000001,78,98,4.32,BR,1683659290
82,codrington,-38.2667,141.9667,13.270000000000039,65,100,3.21,AU,1683659519
83,atafu village,-8.5421,-172.5159,29.170000000000016,77,16,6.19,TK,1683659520
84,ilulissat,69.2167,-51.1,-0.9899999999999523,80,75,4.12,GL,1683659520
85,norilsk,69.3535,88.2027,-22.579999999999984,100,100,1.81,RU,1683659520
86,viedma,-40.8135,-62.9967,16.810000000000002,46,100,7.8,AR,1683659521
87,bilibino,68.0546,166.4372,-5.759999999999991,93,100,1.22,RU,1683659521
88,turpan,42.9333,89.1667,21.0,22,0,1.29,CN,1683659521
89,carnarvon,-24.8667,113.6333,21.170000000000016,81,100,2.91,AU,1683659521
90,acapulco de juarez,16.8634,-99.8901,31.900000000000034,62,0,5.66,MX,1683659427
91,ziro,27.6333,93.8333,8.810000000000002,95,59,1.61,IN,1683659522
92,jamestown,42.097,-79.2353,19.730000000000018,36,0,7.2,US,1683659383
93,juneau,58.3019,-134.4197,11.340000000000032,82,20,4.63,US,1683659522
94,pandan,14.0453,124.1694,26.400000000000034,83,100,1.27,PH,1683659522
95,majie,25.0333,102.6361,20.930000000000007,38,56,5.07,CN,1683659522
96,gazipasa,36.2694,32.3179,18.05000000000001,88,75,1.03,TR,1683659523
97,la passe,45.5549,-0.8967,17.129999999999995,83,2,8.75,FR,1683659523
98,fort bragg,35.139,-79.006,31.910000000000025,39,20,5.14,US,1683659523
99,remire-montjoly,4.9167,-52.2667,26.02000000000004,89,100,5.14,GF,1683659523
100,st. john's,47.5649,-52.7093,5.520000000000039,89,100,10.8,CA,1683659458
101,cold lake,54.4502,-110.2017,13.439999999999998,55,100,1.67,CA,1683659524
102,wailua homesteads,22.0669,-159.378,24.24000000000001,84,100,5.14,US,1683659524
103,ryotsu-minato,38.0833,138.4333,11.629999999999995,48,0,1.23,JP,1683659524
104,papatowai,-46.5619,169.4708,8.240000000000009,89,100,1.68,NZ,1683659525
105,invercargill,-46.4,168.35,8.340000000000032,95,68,1.34,NZ,1683659525
106,nizhneudinsk,54.9076,99.0276,12.090000000000032,64,96,1.4,RU,1683659525
107,tornio,65.8481,24.1466,5.010000000000048,93,100,2.13,FI,1683659525
108,avarua,-21.2078,-159.775,24.03000000000003,94,100,9.26,CK,1683659525
109,nuuk,64.1835,-51.7216,0.34000000000003183,86,100,3.58,GL,1683659526
110,cooper's town,26.8667,-77.5167,25.08000000000004,73,13,2.52,BS,1683659526
111,arteche,12.2645,125.4048,25.660000000000025,84,100,0.41,PH,1683659526
112,wohlen,47.3524,8.2788,15.060000000000002,93,100,3.13,CH,1683659526
113,kudahuvadhoo,2.6708,72.8944,28.04000000000002,80,74,4.72,MV,1683659527
114,albany,42.6001,-73.9662,18.230000000000018,31,62,1.34,US,1683659527
115,kerikeri,-35.2268,173.9474,16.060000000000002,96,14,1.34,NZ,1683659528
116,hamilton,39.1834,-84.5333,24.79000000000002,48,20,6.17,US,1683659438
117,nova vicosa,-17.8919,-39.3719,25.629999999999995,71,65,4.0,BR,1683659528
118,kirillov,59.863,38.3813,6.82000000000005,64,90,2.02,RU,1683659530
119,west island,-12.1568,96.8225,27.370000000000005,82,21,8.67,CC,1683659530
120,bireun,5.203,96.7009,25.57000000000005,79,100,2.2,ID,1683659530
121,qaqortoq,60.7167,-46.0333,1.6100000000000136,92,91,1.42,GL,1683659530
122,dudinka,69.4058,86.1778,-25.68999999999997,100,63,0.82,RU,1683659531
123,nogliki,51.8333,143.1667,-0.7399999999999523,98,100,3.63,RU,1683659531
124,sharan,54.8167,54.0,5.439999999999998,56,97,3.18,RU,1683659531
125,rawson,-43.3002,-65.1023,13.960000000000036,60,0,8.69,AR,1683659532
126,aswan,24.0934,32.907,27.02000000000004,16,4,3.68,EG,1683659532
127,usogorsk,63.4106,48.6872,5.1299999999999955,96,100,2.25,RU,1683659537
128,axim,4.8699,-2.2405,27.82000000000005,77,13,3.54,GH,1683659537
129,broome,42.2506,-75.833,18.700000000000045,35,0,7.2,US,1683659538
130,nuku'alofa,-21.1333,-175.2,25.189999999999998,94,20,2.57,TO,1683659538
131,celestun,20.8667,-90.4,32.04000000000002,52,100,3.82,MX,1683659538
132,port augusta,-32.5,137.7667,10.189999999999998,82,0,2.18,AU,1683659538
133,kenai,60.5544,-151.2583,8.050000000000011,72,100,10.8,US,1683659539
134,port elizabeth,-33.918,25.5701,16.29000000000002,95,40,0.51,ZA,1683659539
135,sao felix do xingu,-6.6447,-51.995,31.140000000000043,56,29,1.83,BR,1683659288
136,keflavik,64.0049,-22.5624,10.240000000000009,93,75,2.57,IS,1683659539
137,kabo,7.6994,18.629,25.670000000000016,71,100,2.54,CF,1683659517
138,sinabang,2.4803,96.3801,26.810000000000002,78,91,1.25,ID,1683659540
139,sao joao da barra,-21.6403,-41.0511,27.05000000000001,75,74,4.94,BR,1683659540
140,mangrol,21.1167,70.1167,28.74000000000001,69,96,4.43,IN,1683659540
141,tobruk,32.0836,23.9764,19.720000000000027,65,100,8.6,LY,1683659540
142,lompoc,34.6391,-120.4579,19.32000000000005,68,75,4.63,US,1683659541
143,tupiza,-21.45,-65.7167,19.54000000000002,17,73,1.8,BO,1683659541
144,motueka,-41.1333,173.0167,13.189999999999998,97,100,2.11,NZ,1683659541
145,colonia,50.9333,6.95,15.53000000000003,90,40,2.06,DE,1683659512
146,martakert,40.2104,46.821,14.54000000000002,88,100,1.74,AZ,1683659478
147,macau,22.2006,113.5461,23.850000000000023,78,20,6.69,MO,1683659536
148,hermanus,-34.4187,19.2345,16.49000000000001,76,100,2.46,ZA,1683659542
149,itacare,-14.2775,-38.9967,27.590000000000032,73,14,4.84,BR,1683659542
150,huarmey,-10.0681,-78.1522,25.400000000000034,74,22,4.88,PE,1683659542
151,alofi,-19.0595,-169.9187,25.840000000000032,79,24,4.35,NU,1683659543
152,yuzhno-kurilsk,44.0306,145.8556,4.730000000000018,95,89,3.65,RU,1683659543
153,aykhal,66.0,111.5,-7.96999999999997,87,9,8.96,RU,1683659543
154,morogoro,-6.8167,37.6667,21.230000000000018,83,87,0.73,TZ,1683659543
155,mhangura,-16.8939,30.1683,14.990000000000009,67,18,1.72,ZW,1683659544
156,florence,43.7667,11.25,20.82000000000005,65,75,2.24,IT,1683659544
157,namibe,-15.1961,12.1522,23.870000000000005,82,30,2.46,AO,1683659544
158,jurm,36.8648,70.8342,14.150000000000034,34,0,1.31,AF,1683659544
159,bandar lampung,-5.4254,105.258,24.340000000000032,94,100,1.47,ID,1683659545
160,sao francisco do sul,-26.2433,-48.6381,20.25,88,100,1.31,BR,1683659545
161,harstad,68.799,16.5293,10.129999999999995,67,100,3.58,NO,1683659545
162,taro,-8.3862,115.28,23.0,96,100,0.3,ID,1683659545
163,grand falls-windsor,48.9332,-55.6649,2.5,89,100,3.13,CA,1683659545
164,ridgecrest,35.6225,-117.6709,22.920000000000016,16,40,2.06,US,1683659509
165,nadi,-17.8,177.4167,21.0,88,20,3.6,FJ,1683659304
166,cabo san lucas,22.8909,-109.9124,31.450000000000045,23,20,2.06,MX,1683659546
167,hithadhoo,-0.6,73.0833,27.99000000000001,72,100,2.72,MV,1683659546
168,yuncheng,35.0231,110.9928,12.57000000000005,85,100,0.93,CN,1683659547
169,melekeok village,7.4957,134.6367,24.310000000000002,94,75,1.54,PW,1683659547
170,yeraliyev,43.2,51.65,14.810000000000002,70,0,5.19,KZ,1683659547
171,lihue,21.9789,-159.3672,24.58000000000004,84,100,5.14,US,1683659449
172,el granada,37.5027,-122.4694,19.710000000000036,71,75,5.66,US,1683659547
173,hadibu,12.65,54.0333,28.439999999999998,68,100,1.06,YE,1683659548
174,qamdo,31.1667,97.2333,-0.5799999999999841,75,35,1.28,CN,1683659548
175,anadyr,64.75,177.4833,-5.71999999999997,85,90,2.68,RU,1683659548
176,petropavlovsk-kamchatsky,53.0452,158.6483,-0.6699999999999591,100,0,2.0,RU,1683659548
177,kapa'a,22.0752,-159.319,24.99000000000001,83,100,5.14,US,1683659548
178,khandyga,62.6667,135.6,-3.329999999999984,75,19,2.05,RU,1683659549
179,nagqu,31.5,92.0,-1.4399999999999977,85,100,2.68,CN,1683659549
180,ramban,33.25,75.25,12.660000000000025,61,0,4.1,IN,1683659549
181,saldanha,-33.0117,17.9442,16.03000000000003,80,97,4.81,ZA,1683659550
182,zhangye,38.9342,100.4517,12.090000000000032,39,100,1.51,CN,1683659550
183,batikent,39.9683,32.7308,14.760000000000048,72,75,4.12,TR,1683659550
184,uturoa,-16.7333,-151.4333,27.49000000000001,71,100,1.67,PF,1683659551
185,mwinilunga,-11.7358,24.4293,16.600000000000023,51,100,2.07,ZM,1683659552
186,emerald,-23.5333,148.1667,8.460000000000036,56,0,5.38,AU,1683659552
187,floro,61.5996,5.0328,12.04000000000002,71,75,7.2,NO,1683659552
188,ribeira brava,32.65,-17.0667,24.28000000000003,75,1,3.54,PT,1683659553
189,chonchi,-42.6128,-73.8092,15.560000000000002,88,72,0.6,CL,1683659553
190,udachny,66.4167,112.4,-1.9699999999999704,73,31,9.27,RU,1683659553
191,calama,-22.4667,-68.9333,25.27000000000004,7,0,7.72,CL,1683659543
192,moree,-29.4667,149.85,8.370000000000005,67,0,2.88,AU,1683659554
193,ponta delgada,37.7333,-25.6667,19.400000000000034,88,40,4.63,PT,1683659554
194,box elder,41.5005,-112.8764,12.370000000000005,41,100,3.91,US,1683659555
195,port alfred,-33.5906,26.891,16.210000000000036,96,6,3.8,ZA,1683659555
196,hasaki,35.7333,140.8333,11.79000000000002,68,0,5.05,JP,1683659555
197,dwarka,22.2394,68.9678,28.350000000000023,74,14,4.95,IN,1683659555
198,hanceville,34.0607,-86.7675,30.650000000000034,53,69,3.13,US,1683659556
199,badger,64.8,-147.5333,10.140000000000043,40,75,0.0,US,1683659556
200,iqaluit,63.7506,-68.5145,-1.2799999999999727,58,13,2.24,CA,1683659556
201,talnakh,69.4865,88.3972,-23.019999999999982,100,97,1.7,RU,1683659556
202,monte alegre,-2.0078,-54.0692,28.77000000000004,78,100,1.57,BR,1683659490
203,mount gambier,-37.8333,140.7667,11.960000000000036,81,99,1.64,AU,1683659557
204,encrucijada,22.6169,-79.8711,32.31,55,75,5.14,CU,1683659557
205,afaahiti,-17.75,-149.2833,27.930000000000007,75,100,3.08,PF,1683659557
206,puerto baquerizo moreno,-0.9,-89.6,28.55000000000001,84,75,4.12,EC,1683659558
207,leava,-14.3,-178.1667,28.110000000000014,76,0,2.73,WF,1683659558
208,homnabad,17.7667,77.1333,28.340000000000032,55,100,3.73,IN,1683659558
209,labrador city,52.9463,-66.9114,4.1200000000000045,31,100,5.81,CA,1683659558
210,datong,40.0936,113.2914,14.170000000000016,51,100,1.32,CN,1683659563
211,mhamid,29.82,-5.72,33.700000000000045,9,0,3.75,MA,1683659564
212,college,64.8569,-147.8028,10.180000000000007,45,75,0.45,US,1683659564
213,punta arenas,-53.15,-70.9167,7.060000000000002,57,20,5.14,CL,1683659543
214,mana,5.6592,-53.7767,27.870000000000005,72,100,5.54,GF,1683659564
215,touros,-5.1989,-35.4608,28.32000000000005,73,38,6.36,BR,1683659565
216,shushtar,32.0455,48.8567,29.230000000000018,33,100,10.76,IR,1683659565
217,vilyuchinsk,52.9306,158.4028,0.1500000000000341,78,100,2.45,RU,1683659565
218,kargil,34.5667,76.1,-3.6499999999999773,59,9,2.31,IN,1683659565
219,mandera,3.9366,41.867,28.470000000000027,60,100,4.63,KE,1683659565
220,pukhrayan,26.2333,79.85,30.730000000000018,12,0,2.18,IN,1683659566
221,nikolayevsk-on-amure,53.1406,140.73,0.03000000000002956,94,100,1.68,RU,1683659566
222,el nido,11.1858,119.3956,27.600000000000023,77,100,0.84,PH,1683659566
223,kargasok,59.0556,80.8572,-0.17999999999994998,49,0,2.11,RU,1683659566
224,nar'yan-mar,67.6713,53.087,-0.6699999999999591,87,100,4.76,RU,1683659567
225,thunder bay,48.4001,-89.3168,14.260000000000048,51,17,2.59,CA,1683659386
226,susuman,62.7833,148.1667,-1.0499999999999545,91,98,0.91,RU,1683659567
227,whitehorse,60.7161,-135.0538,8.78000000000003,42,100,5.81,CA,1683659567
228,holualoa,19.6228,-155.9522,24.910000000000025,80,40,4.12,US,1683659567
229,visakhapatnam,17.69,83.2093,28.939999999999998,100,20,1.03,IN,1683659568
230,tura,25.5198,90.2201,25.03000000000003,36,0,2.62,IN,1683659568
231,zhanaozen,43.3,52.8,17.99000000000001,53,11,5.69,KZ,1683659568
232,balabac,7.9868,117.0645,27.640000000000043,81,79,2.25,PH,1683659568
233,pucon,-39.2822,-71.9543,16.660000000000025,48,100,0.52,CL,1683659569
234,kodar,16.9833,79.9667,28.180000000000007,66,100,3.19,IN,1683659569
235,borogontsy,62.6683,131.1683,-1.5600000000000023,74,100,3.26,RU,1683659569
236,arac,41.2422,33.3277,10.740000000000009,88,100,1.13,TR,1683659569
237,arraial do cabo,-22.9661,-42.0278,25.920000000000016,83,40,4.63,BR,1683659569
238,tucumcari,35.1717,-103.725,31.08000000000004,7,0,3.6,US,1683659570
239,mundgod,14.9667,75.0333,24.150000000000034,80,100,2.27,IN,1683659570
240,namtsy,62.7161,129.6658,-0.6200000000000045,80,100,4.41,RU,1683659570
241,freetown,8.484,-13.2299,28.189999999999998,75,98,3.3,SL,1683659570
242,karatas,36.582,35.3701,20.360000000000014,80,96,2.79,TR,1683659571
243,east palo alto,37.4688,-122.1411,20.04000000000002,63,40,5.66,US,1683659571
244,yamada,39.4667,141.95,8.170000000000016,72,0,2.81,JP,1683659571
245,pithoragarh,29.5833,80.2167,13.230000000000018,45,0,1.59,IN,1683659571
246,porto novo,6.4965,2.6036,27.890000000000043,78,100,2.7,BJ,1683659362
247,minas de marcona,-15.2119,-75.1103,20.05000000000001,64,16,7.04,PE,1683659572
248,tommot,58.9564,126.2925,-6.099999999999966,94,36,1.62,RU,1683659572
249,zelenogorsk,56.1147,94.5861,8.360000000000014,75,100,4.47,RU,1683659572
250,naze,28.3667,129.4833,19.49000000000001,70,67,7.46,JP,1683659572
251,valparai,10.3667,76.9667,20.370000000000005,92,100,0.82,IN,1683659573
252,vernon,50.2581,-119.2691,19.78000000000003,52,93,1.54,CA,1683659574
253,alenquer,-1.9417,-54.7383,29.07000000000005,75,67,1.91,BR,1683659439
254,zhangatas,43.5667,69.75,17.480000000000018,22,0,2.53,KZ,1683659574
255,santiago de cuba,20.0247,-75.8219,31.060000000000002,66,20,3.09,CU,1683659575
256,yoichi,43.2039,140.7703,7.230000000000018,85,4,3.37,JP,1683659575
257,ola,59.5833,151.2833,1.240000000000009,87,90,1.02,RU,1683659575
258,tazacorte,28.629,-17.9293,23.54000000000002,69,20,6.17,ES,1683659575
259,vadso,70.0744,29.7487,4.490000000000009,87,75,4.12,NO,1683659576
260,saint-francois,46.4154,3.9054,13.310000000000002,96,96,2.83,FR,1683659576
261,taltal,-25.4,-70.4833,19.900000000000034,68,24,2.56,CL,1683659420
262,margate,51.3813,1.3862,15.490000000000009,79,99,2.68,GB,1683659576
263,cadale,2.7603,46.3222,27.29000000000002,82,67,7.33,SO,1683659577
264,greenville,35.6127,-77.3663,30.090000000000032,51,40,2.06,US,1683659577
265,pisco,-13.7,-76.2167,24.03000000000003,64,0,6.17,PE,1683659577
266,korla,41.7597,86.1469,15.550000000000011,30,0,2.83,CN,1683659577
267,mazagao,-0.115,-51.2894,30.03000000000003,61,31,2.1,BR,1683659470
268,saltillo,25.4167,-101.0,29.05000000000001,25,3,3.25,MX,1683659517
269,archidona,37.0965,-4.3887,26.060000000000002,28,68,4.96,ES,1683659578
270,ndofane,13.9167,-15.9333,34.08000000000004,28,94,4.09,SN,1683659578
271,prata,-19.3072,-48.9242,28.120000000000005,42,86,1.33,BR,1683659579
272,constantia,44.1833,28.65,10.379999999999995,74,23,4.08,RO,1683659579
273,chanika,-5.4167,38.0167,18.420000000000016,98,51,1.28,TZ,1683659579
274,prado,-17.3411,-39.2208,25.670000000000016,73,40,3.92,BR,1683659579
275,alice springs,-23.7,133.8833,0.75,75,0,3.04,AU,1683659579
